month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-04-24,15009,3541,3,0,0,0,0,uah,yes
2024-04-24,15008,3541,2,0,0,0,0,uah,yes
2024-04-24,15007,3541,1,0,0,0,0,uah,yes
2024-04-24,15005,3541,3,0,0,0,0,uah,yes
2024-04-24,15004,3541,2,0,0,0,0,uah,yes
2024-04-24,15003,3541,1,0,0,0,0,uah,yes
2024-04-24,15000,1927,3,0,0,0,0,interbank,yes
2024-04-24,14999,1927,2,0,0,0,0,interbank,yes
2024-04-24,14998,1927,1,0,0,0,0,interbank,yes
2024-04-24,14983,2376,2,0,0,0,0,uah,yes
2024-04-24,14982,2376,1,0,0,0,0,uah,yes
2024-04-24,14972,2185,2,0,0,0,0,uah,yes
2024-04-24,14971,2185,1,0,0,0,0,uah,yes
2024-04-24,14961,4401,2,66.5,80.5,850,1100,interbank,no
2024-04-24,14959,4401,1,52,52,900,1100,interbank,no
2024-04-24,14956,4385,3,0,0,0,0,interbank,yes
2024-04-24,14955,4385,2,0,0,0,0,interbank,yes
2024-04-24,14954,4385,1,0,0,0,0,interbank,yes
2024-04-24,14953,858,2,63,103.2,45000,55000,uah,no
2024-04-24,14952,858,1,0,0,0,0,uah,yes
2024-04-24,14949,858,2,63,103.2,45000,55000,uah,no
2024-04-24,14948,858,1,0,0,0,0,uah,yes
2024-04-24,14942,4030,1,0,0,0,0,interbank,yes
2024-04-24,14916,4396,1,0,0,0,0,uah,yes
2024-04-24,14915,4396,2,0,0,0,0,uah,yes
2024-04-24,14888,4207,3,0,0,0,0,interbank,yes
2024-04-24,14887,4207,2,0,0,0,0,interbank,yes
2024-04-24,14886,4207,1,0,0,0,0,interbank,yes
2024-04-24,14880,4209,3,0,0,0,0,interbank,yes
2024-04-24,14879,4209,2,0,0,0,0,interbank,yes
2024-04-24,14878,4209,1,0,0,0,0,interbank,yes
2024-04-24,14863,4382,3,113,138,22000,24000,uah,no
2024-04-24,14857,28,3,0,0,0,0,uah,yes
2024-04-24,14856,28,1,0,0,0,0,uah,yes
2024-04-24,14855,28,2,0,0,0,0,uah,yes
2024-04-24,14854,28,2,0,0,0,0,uah,yes
2024-04-24,14853,28,1,0,0,0,0,uah,yes
2024-04-24,14821,3034,2,0,0,0,0,uah,yes
2024-04-24,14820,3034,1,0,0,0,0,uah,yes
2024-04-24,14819,3739,2,0,0,0,0,uah,yes
2024-04-24,14818,2922,3,0,0,0,0,interbank,yes
2024-04-24,14817,2922,2,0,0,0,0,interbank,yes
2024-04-24,14816,2922,1,0,0,0,0,interbank,yes
2024-04-24,14790,3538,3,0,0,0,0,uah,yes
